timestamp,engine_id,mission_id,rpm,cht,egt,oil_pressure,oil_temperature,fuel_flow,vibration,battery_voltage,alternator_current,injection_timing,throttle,altitude,ambient_temperature,ambient_pressure,engine_load
2026-09-20T08:00:00Z,AEGIS-ENG-001,MSN-SYN-OVER,5653,146.1,821.1,4.46,108.8,28.8,3.43,28.2,41.6,25.7,100,1000,20.0,976,96.0
2026-09-20T08:00:01Z,AEGIS-ENG-001,MSN-SYN-OVER,5665,144.2,820.3,4.47,107.4,29.1,3.53,28.2,41.2,25.7,100,1025,20.0,975,96.0
2026-09-20T08:00:02Z,AEGIS-ENG-001,MSN-SYN-OVER,5658,144.1,822.0,4.47,107.2,29.1,3.39,28.3,41.7,25.7,100,1050,19.9,974,96.0
2026-09-20T08:00:03Z,AEGIS-ENG-001,MSN-SYN-OVER,5645,143.8,820.3,4.44,107.4,29.0,3.49,28.2,41.4,25.7,100,1075,19.9,973,96.0
2026-09-20T08:00:04Z,AEGIS-ENG-001,MSN-SYN-OVER,5650,144.2,819.0,4.50,108.3,28.8,3.45,28.3,41.5,25.7,100,1100,19.8,973,96.0
2026-09-20T08:00:05Z,AEGIS-ENG-001,MSN-SYN-OVER,5651,145.0,820.1,4.41,108.2,28.5,3.37,28.2,41.1,25.7,100,1125,19.8,972,96.0
2026-09-20T08:00:06Z,AEGIS-ENG-001,MSN-SYN-OVER,5669,145.5,820.3,4.46,109.0,28.9,3.47,28.2,41.7,25.7,100,1150,19.7,971,96.0
2026-09-20T08:00:07Z,AEGIS-ENG-001,MSN-SYN-OVER,5667,146.3,821.5,4.43,108.7,29.0,3.54,28.3,41.0,25.7,100,1175,19.7,970,96.0
2026-09-20T08:00:08Z,AEGIS-ENG-001,MSN-SYN-OVER,5647,144.5,819.1,4.50,107.9,28.7,3.45,28.2,41.1,25.7,100,1200,19.6,969,96.0
2026-09-20T08:00:09Z,AEGIS-ENG-001,MSN-SYN-OVER,5655,143.4,819.1,4.48,107.5,29.1,3.51,28.2,41.6,25.7,100,1225,19.6,968,96.0
2026-09-20T08:00:10Z,AEGIS-ENG-001,MSN-SYN-OVER,5630,143.8,821.6,4.45,109.2,28.8,3.50,28.3,41.0,25.7,100,1250,19.5,967,96.0
2026-09-20T08:00:11Z,AEGIS-ENG-001,MSN-SYN-OVER,5656,143.8,819.4,4.42,108.8,28.7,3.55,28.2,41.7,25.7,100,1275,19.5,966,96.0
2026-09-20T08:00:12Z,AEGIS-ENG-001,MSN-SYN-OVER,5650,143.6,819.8,4.49,107.5,29.0,3.47,28.3,41.0,25.7,100,1300,19.4,965,96.0
2026-09-20T08:00:13Z,AEGIS-ENG-001,MSN-SYN-OVER,5634,143.3,823.9,4.46,108.4,28.6,3.38,28.2,41.0,25.7,100,1325,19.4,964,96.0
